ylw_x,ylw_y,ylw_z,blu_x,blu_y,blu_z,labels
43.85,3.64,16.67,20.76,-15.15,-28.04,Set needle
42.7,3.97,15.43,23.79,-17.58,-39.21,Set needle
42.3,4.04,14.89,24.57,-19.52,-41.02,Set needle
41.74,3.17,13.33,23.66,-19.75,-37.79,Set needle
41.5,3.21,12.66,24.94,-20.82,-41.39,Set needle
41.41,3.81,13.26,20.91,-20.72,-28.15,Set needle
40.26,3.35,11.17,23.51,-21.75,-33.14,Set needle
40.68,3.59,12.06,23.49,-22.83,-34.96,Set needle
40.33,2.1,10.28,24.23,-22.94,-38.71,Set needle
38.21,0.34,5.67,23.23,-21.31,-39.19,Set needle
38.27,1.67,7.22,17.9,-18.55,-30.49,Set needle
39.58,1.5,9.14,17.77,-17.78,-32.69,Set needle
40.57,1.52,11.06,17.5,-15.96,-29.71,Set needle
40.02,0.9,9.38,16.9,-15.38,-29.79,Set needle
40.88,1.36,11.89,21.24,-12.44,-36.93,Set needle
41.34,0.63,11.82,18.74,-10.18,-32.53,Set needle
41.28,-0.66,10.35,21.65,-8.5,-36.54,Set needle
40.41,-0.45,9.03,19.93,-10.82,-37.78,Set needle
39.55,0.64,8.92,24.69,-11.58,-46.25,Set needle
39.88,1.38,10.07,27.55,-14.37,-43.38,Set needle
39.4,0.99,8.75,27.75,-16.45,-38.89,Set needle
40.45,1.16,10.7,28.63,-18.75,-40.05,Set needle
43.01,2.0,15.29,28.79,-21.14,-37.17,Set needle
42.41,1.64,14.14,25.46,-21.93,-28.16,Set needle
43.36,0.57,14.1,27.89,-23.63,-35.17,Set needle
42.45,1.58,14.08,27.09,-25.12,-33.34,Set needle
41.4,1.21,12.25,27.31,-24.34,-28.4,Set needle
43.43,0.21,13.92,29.79,-25.88,-41.09,Set needle
37.42,-0.21,5.61,26.21,-24.89,-34.45,Set needle
38.72,-0.89,6.56,28.16,-22.11,-38.72,Set needle
38.81,-1.71,5.92,27.31,-20.37,-38.21,Set needle
38.94,-1.33,6.53,28.06,-19.87,-43.31,Set needle
38.92,-2.12,5.55,24.88,-17.91,-35.29,Set needle
38.08,-1.8,4.62,26.49,-17.24,-39.57,Set needle
40.32,-0.86,8.6,23.58,-17.42,-36.02,Set needle
40.16,-0.99,8.15,29.31,-14.95,-38.3,Set needle
39.3,-1.1,7.0,25.23,-11.63,-26.46,Set needle
40.87,-0.91,9.24,27.16,-13.95,-34.37,Set needle
40.54,-0.51,9.3,25.77,-14.51,-32.9,Set needle
41.48,-0.68,10.15,25.91,-14.29,-32.43,Set needle
39.21,-0.67,6.95,29.97,-16.97,-48.41,Set needle
39.32,-0.38,7.47,28.73,-16.53,-39.11,Set needle
39.98,0.22,9.02,30.27,-18.74,-43.55,Set needle
39.68,1.54,9.16,31.42,-21.81,-48.14,Set needle
40.33,2.02,9.42,26.92,-19.82,-29.92,Set needle
40.68,2.58,9.29,29.42,-21.31,-38.91,Set needle
38.64,2.16,4.09,28.04,-22.8,-34.87,Set needle
40.75,3.22,7.25,29.85,-24.97,-44.44,Set needle
40.07,2.53,5.61,28.58,-24.78,-43.97,Set needle
41.59,2.38,8.09,25.56,-22.94,-38.32,Set needle
42.13,2.41,9.34,25.63,-22.93,-45.55,Set needle
41.37,1.95,7.89,26.64,-23.33,-50.05,Set needle
43.24,5.03,14.26,23.96,-19.27,-37.23,Set needle
41.89,5.21,13.5,24.9,-19.16,-42.24,Set needle
37.12,2.56,6.88,24.75,-17.48,-40.17,Set needle
37.18,4.44,11.82,26.26,-15.63,-44.23,Set needle
35.76,7.95,13.75,27.3,-15.99,-54.12,Set needle
35.46,8.31,13.54,26.57,-16.7,-57.17,Set needle
