ylw_x,ylw_y,ylw_z,blu_x,blu_y,blu_z,labels
51.57,8.28,-19.16,-8.21,-21.85,-81.82,Seek needle
49.88,8.3,-18.55,-8.98,-22.25,-82.41,Seek needle
51.12,9.94,-14.43,-9.45,-21.92,-82.68,Seek needle
49.63,8.89,-15.42,-7.22,-23.35,-86.71,Seek needle
45.24,7.31,-19.51,-8.48,-22.91,-83.54,Seek needle
44.29,8.15,-17.18,-7.7,-23.78,-82.8,Seek needle
40.11,7.39,-20.65,-9.88,-23.92,-78.94,Seek needle
40.81,7.91,-16.96,-7.93,-26.06,-82.35,Seek needle
39.0,7.99,-17.19,-8.51,-26.5,-81.43,Seek needle
41.03,10.42,-11.13,-9.0,-27.0,-81.15,Seek needle
40.34,9.53,-12.89,-9.78,-28.02,-81.31,Seek needle
39.09,9.67,-14.32,-10.13,-29.67,-81.35,Seek needle
39.17,9.64,-13.77,-10.78,-31.08,-79.19,Seek needle
35.78,7.38,-17.81,-11.59,-30.99,-74.66,Seek needle
35.02,6.9,-15.93,-12.87,-30.59,-70.88,Seek needle
33.69,8.15,-11.38,-15.12,-30.37,-65.13,Seek needle
32.63,7.43,-7.66,-12.73,-30.85,-64.26,Seek needle
28.7,4.83,-8.86,-11.41,-31.02,-60.62,Seek needle
26.37,5.62,-5.17,-7.08,-30.37,-61.06,Seek needle
24.09,4.07,-4.89,-6.54,-29.01,-55.29,Seek needle
23.98,3.34,-1.33,-2.53,-27.97,-56.27,Seek needle
25.59,3.1,5.05,-2.25,-28.55,-51.3,Seek needle
25.46,2.6,9.32,2.57,-28.91,-50.13,Seek needle
25.05,2.09,11.9,3.47,-29.87,-45.64,Seek needle
28.36,3.2,19.0,5.5,-30.46,-45.4,Seek needle
30.36,2.42,20.68,7.67,-32.34,-46.14,Seek needle
30.56,0.65,17.79,5.8,-35.82,-38.38,Seek needle
33.72,2.63,18.89,7.16,-39.26,-39.37,Seek needle
36.73,3.73,16.02,7.69,-43.89,-43.25,Seek needle
41.95,6.72,17.73,4.79,-46.71,-37.32,Seek needle
41.66,7.16,7.95,7.29,-46.98,-43.79,Seek needle
45.64,8.99,8.24,7.67,-47.52,-48.07,Seek needle
41.82,10.0,0.24,11.11,-47.33,-58.04,Seek needle
41.51,12.22,-1.65,14.07,-46.83,-62.74,Seek needle
40.85,12.92,-5.22,15.59,-46.71,-65.44,Seek needle
37.65,10.82,-12.72,16.79,-46.51,-65.71,Seek needle
40.32,14.8,-5.85,18.11,-46.48,-65.04,Seek needle
40.41,14.73,-3.43,19.97,-46.51,-65.04,Seek needle
38.57,12.88,-4.39,20.45,-46.66,-63.97,Seek needle
37.54,13.74,-2.61,21.34,-47.59,-64.29,Seek needle
34.62,10.11,-7.62,21.15,-48.22,-62.12,Seek needle
34.76,9.38,-6.39,19.63,-48.0,-58.89,Seek needle
31.2,9.4,-10.79,19.16,-47.55,-62.12,Seek needle
31.21,10.44,-9.46,17.56,-47.12,-59.89,Seek needle
29.05,10.06,-12.52,15.85,-45.95,-55.96,Seek needle
28.74,10.44,-12.45,15.84,-45.43,-60.99,Seek needle
26.82,8.4,-16.64,14.7,-44.13,-59.16,Seek needle
28.73,6.89,-15.27,14.92,-43.58,-62.38,Seek needle
25.09,3.63,-21.05,14.11,-43.03,-62.29,Seek needle
25.16,2.98,-19.0,13.39,-42.62,-60.75,Seek needle
24.59,1.46,-19.41,12.72,-42.17,-60.75,Seek needle
24.88,1.75,-18.36,11.57,-41.06,-59.38,Seek needle
24.21,0.46,-20.12,10.63,-40.48,-60.2,Seek needle
23.64,-1.14,-21.28,9.86,-39.96,-61.06,Seek needle
22.7,-1.6,-20.81,8.72,-40.04,-61.1,Seek needle
22.11,-2.64,-19.97,6.39,-39.6,-55.35,Seek needle
20.86,-2.59,-19.15,7.89,-40.93,-58.06,Seek needle
16.6,-5.57,-26.17,10.11,-42.27,-60.5,Seek needle
19.02,-3.65,-19.31,10.63,-43.3,-59.65,Seek needle
18.98,-4.95,-18.34,9.28,-43.41,-53.45,Seek needle
18.41,-5.55,-19.38,6.21,-43.57,-48.42,Seek needle
17.89,-5.38,-22.14,6.31,-43.3,-50.88,Seek needle
18.47,-7.26,-24.34,6.8,-43.63,-55.53,Seek needle
19.2,-7.62,-23.77,8.14,-43.24,-58.44,Seek needle
22.65,-7.94,-19.7,5.37,-42.17,-53.09,Seek needle
23.44,-10.23,-21.17,5.92,-40.65,-57.2,Seek needle
23.68,-9.53,-21.44,5.95,-40.93,-58.84,Seek needle
24.16,-8.4,-22.03,5.05,-42.08,-55.42,Seek needle
27.16,-4.78,-17.97,5.25,-42.16,-54.78,Seek needle
25.58,-4.51,-23.27,5.22,-42.86,-58.87,Seek needle
34.75,0.31,-11.11,6.42,-43.86,-67.4,Seek needle
36.23,3.49,-12.26,4.81,-45.52,-71.89,Seek needle
38.85,4.76,-13.95,-26.26,-81.05,-155.43,Seek needle
42.31,6.36,-15.3,-25.07,-81.32,-157.81,Seek needle
43.18,6.93,-19.86,-26.67,-81.11,-155.57,Seek needle
44.89,8.34,-21.67,-23.4,-84.36,-163.55,Seek needle
46.11,8.56,-21.91,-23.72,-83.53,-162.42,Seek needle
48.26,9.15,-19.41,-21.82,-85.14,-166.25,Seek needle
46.11,8.5,-23.74,5.91,-57.17,-92.93,Seek needle
45.88,10.75,-24.68,3.92,-57.44,-93.57,Seek needle
47.79,11.89,-23.52,2.84,-57.08,-94.21,Seek needle
49.18,13.41,-22.14,2.12,-56.83,-94.86,Seek needle
44.06,14.24,-28.6,0.14,-56.83,-95.39,Seek needle
46.48,15.85,-26.69,-0.75,-58.98,-98.75,Seek needle
46.32,18.07,-28.67,0.19,-61.12,-101.69,Seek needle
49.95,19.83,-27.3,-1.24,-60.82,-100.31,Seek needle
53.65,20.68,-25.81,-1.49,-61.13,-102.07,Seek needle
54.3,20.35,-27.9,-2.28,-60.98,-101.53,Seek needle
54.87,18.2,-29.34,-2.24,-60.67,-102.26,Seek needle
56.44,18.84,-27.69,-3.82,-59.51,-100.08,Seek needle
