ylw_x,ylw_y,ylw_z,blu_x,blu_y,blu_z,labels
38.0,-5.36,-51.84,-6.8,-2.55,-65.46,Seek needle
38.01,-4.83,-51.81,-8.68,-2.81,-62.63,Seek needle
38.93,-4.68,-50.81,-7.31,-2.58,-63.14,Seek needle
38.1,-5.58,-52.38,-2.37,-6.45,-69.22,Seek needle
39.27,-4.8,-49.49,-2.45,-7.74,-64.66,Seek needle
39.09,-5.03,-48.31,-0.22,-7.67,-62.38,Seek needle
38.61,-5.02,-47.68,-0.95,-8.03,-55.13,Seek needle
39.6,-3.7,-45.21,6.78,-9.89,-61.85,Seek needle
37.75,-5.94,-48.86,10.67,-10.98,-63.66,Seek needle
39.66,-4.07,-44.52,12.67,-12.05,-62.59,Seek needle
39.04,-5.4,-46.05,14.36,-11.17,-58.73,Seek needle
38.96,-6.09,-46.88,16.19,-11.01,-58.74,Seek needle
38.63,-7.15,-48.69,17.3,-8.75,-56.12,Seek needle
39.78,-6.49,-47.5,16.26,-8.71,-56.16,Seek needle
37.68,-7.96,-51.22,17.83,-9.57,-61.95,Seek needle
39.4,-7.32,-48.95,17.35,-4.94,-54.38,Seek needle
40.62,-5.77,-46.78,19.23,-5.35,-55.55,Seek needle
39.86,-7.62,-49.44,19.91,-5.86,-56.88,Seek needle
40.84,-6.72,-48.31,19.96,-5.19,-55.77,Seek needle
42.57,-5.79,-46.59,18.9,-4.14,-52.07,Seek needle
41.56,-6.69,-48.87,21.09,-4.15,-55.34,Seek needle
41.57,-7.07,-49.58,20.07,-3.21,-52.88,Seek needle
42.43,-6.71,-48.55,20.42,-2.81,-52.55,Seek needle
43.49,-6.57,-47.69,19.37,-2.17,-50.2,Seek needle
43.86,-6.38,-47.18,20.87,-2.41,-53.42,Seek needle
43.12,-6.07,-47.65,20.52,-1.12,-51.25,Seek needle
42.9,-6.02,-47.94,19.87,0.07,-48.5,Seek needle
42.95,-6.39,-48.13,19.55,0.57,-47.27,Seek needle
43.21,-5.8,-47.6,18.93,1.82,-43.35,Seek needle
42.62,-5.98,-48.42,19.79,2.39,-44.38,Seek needle
42.64,-7.07,-49.45,19.91,1.98,-44.96,Seek needle
44.34,-4.89,-46.06,21.86,1.95,-47.26,Seek needle
43.64,-5.29,-47.07,21.73,1.0,-47.5,Seek needle
43.22,-6.77,-48.69,22.38,1.48,-47.84,Seek needle
44.82,-5.04,-45.6,24.3,-1.47,-53.86,Seek needle
43.31,-6.12,-47.95,25.41,-1.48,-52.36,Seek needle
43.29,-5.98,-47.59,23.95,-2.07,-50.48,Seek needle
43.31,-5.49,-47.07,25.33,-2.43,-52.03,Seek needle
44.17,-6.01,-46.61,25.98,-1.71,-49.49,Seek needle
43.84,-6.27,-47.03,24.57,-2.35,-47.61,Seek needle
44.12,-5.5,-46.06,26.06,-1.79,-48.16,Seek needle
44.01,-5.69,-46.31,27.66,-1.76,-48.5,Seek needle
44.23,-6.26,-46.25,27.48,-0.7,-45.73,Seek needle
43.54,-6.74,-47.36,26.77,-0.8,-43.83,Seek needle
44.99,-5.22,-44.31,24.51,-2.92,-45.03,Seek needle
44.02,-6.48,-46.2,25.93,-1.58,-47.62,Seek needle
43.61,-5.84,-46.06,25.36,-0.64,-46.19,Seek needle
43.44,-5.95,-46.33,25.42,2.49,-40.05,Seek needle
43.44,-5.95,-46.33,24.71,4.99,-34.18,Seek needle
44.08,-5.38,-45.15,24.56,4.7,-34.17,Seek needle
44.28,-4.58,-44.43,25.59,6.85,-32.51,Seek needle
44.51,-4.54,-43.92,25.98,7.03,-32.72,Seek needle
45.45,-3.98,-42.32,27.29,6.27,-36.85,Seek needle
44.49,-4.1,-43.33,26.51,8.69,-28.85,Seek needle
44.67,-3.66,-42.73,27.79,8.79,-27.25,Seek needle
44.47,-3.47,-42.81,26.96,9.5,-19.92,Seek needle
45.73,-2.51,-40.83,29.28,9.9,-22.91,Seek needle
45.79,-2.13,-40.46,28.65,10.24,-18.85,Seek needle
43.32,-4.27,-44.69,28.97,9.42,-20.84,Seek needle
42.98,-4.49,-45.16,29.06,8.67,-22.86,Seek needle
42.99,-4.49,-45.15,29.07,8.79,-22.61,Seek needle
42.57,-5.17,-46.3,29.32,11.78,-16.96,Seek needle
42.18,-5.29,-46.72,29.46,11.37,-19.36,Seek needle
41.88,-5.82,-47.36,29.08,11.74,-18.6,Seek needle
43.77,-3.01,-43.23,29.38,10.15,-21.47,Seek needle
43.53,-4.11,-44.45,30.07,12.47,-21.49,Seek needle
42.08,-5.18,-46.7,27.6,12.6,-18.53,Seek needle
44.16,-2.95,-42.46,27.57,13.5,-17.61,Seek needle
43.33,-4.09,-44.04,28.06,12.58,-20.92,Seek needle
44.01,-3.91,-42.76,27.96,13.02,-20.94,Seek needle
44.4,-3.09,-41.34,28.28,13.44,-23.04,Seek needle
43.29,-3.54,-42.51,32.9,12.16,-35.39,Seek needle
43.23,-3.91,-42.63,29.52,16.14,-26.07,Seek needle
43.73,-3.44,-41.6,27.97,19.18,-21.77,Seek needle
44.03,-3.08,-40.68,27.93,19.89,-21.28,Seek needle
43.18,-4.24,-42.4,26.57,22.87,-16.9,Grasp needle
44.23,-2.98,-40.2,27.58,24.8,-17.28,Grasp needle
43.86,-3.5,-40.85,28.51,26.14,-17.62,Grasp needle
43.27,-4.55,-42.2,27.55,26.28,-15.99,Grasp needle
43.9,-3.57,-40.78,26.72,27.08,-13.17,Grasp needle
44.34,-3.86,-40.39,27.23,28.83,-12.64,Grasp needle
43.14,-4.7,-42.43,27.92,29.87,-12.45,Grasp needle
42.7,-5.35,-43.61,28.57,30.68,-13.48,Grasp needle
42.98,-5.47,-43.61,28.53,30.23,-13.61,Grasp needle
43.37,-5.1,-42.88,28.46,30.42,-12.85,Grasp needle
